Kernel,Fitur,Akurasi,Presisi,Recall,F1-Score
linear,2000,89.18,89.49,99.48,94.22
linear,500,89.13,89.15,99.9,94.22
rbf,2000,88.71,89.25,99.22,93.97
rbf,500,88.99,89.32,99.48,94.13
